gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
1210868781,23.0,11.20.400.7328,EUW1,11,2,0,2,2,2,2,0,14,0,0,0,0,14,34870,30510,1.1666666,0,24,3,2,1,9,22,45177,42410,3.2857144
771179007,20.0,11.2.353.8505,EUW1,11,2,0,2,0,2,2,0,9,0,0,0,1,13,28606,25463,1.2941177,0,17,3,0,1,5,22,36959,31160,4.3333335
766824603,22.0,11.2.353.8505,EUW1,11,2,2,2,2,2,2,0,13,0,0,0,0,7,34415,32008,0.6666667,1,30,3,2,2,10,28,46949,40783,4.4615383
1194613588,23.0,11.19.398.9466,EUW1,11,2,2,2,2,2,2,0,11,0,0,0,0,10,33394,31615,0.5675676,1,37,3,2,1,11,43,51146,43650,7.2727275
1194407219,31.0,11.19.398.9466,EUW1,11,2,1,2,2,2,2,1,27,0,0,0,3,31,55787,51435,1.8125,0,32,4,3,1,10,34,61324,53275,2.4444444
971591915,27.0,11.10.374.9538,EUW1,11,1,1,1,1,1,1,1,39,3,1,1,7,58,55754,45800,2.8529413,0,34,0,0,0,3,42,49075,47285,1.948718
971512954,38.0,11.10.374.9538,EUW1,11,1,1,1,1,0,1,1,51,3,5,0,11,43,73575,66110,1.709091,0,55,2,0,0,2,70,69738,62460,2.4509804
1154673367,11.0,11.17.394.4489,EUW1,11,2,0,0,0,0,0,0,8,0,0,0,0,10,15627,12675,1.2857143,0,14,0,0,0,0,14,21135,15375,3.5
1154540951,29.0,11.17.394.4489,EUW1,11,1,1,1,1,1,1,1,47,3,2,1,9,62,62496,63870,3.1142857,0,35,1,0,0,1,54,54708,50000,1.893617
1172851734,26.0,11.18.395.7538,EUW1,11,2,0,1,2,2,2,0,9,1,0,1,0,16,37179,35775,0.6944444,0,36,3,1,1,8,51,50593,43635,9.666667
1152871212,32.0,11.17.394.4489,EUW1,11,1,1,2,1,2,2,2,48,2,1,0,8,79,67938,64625,3.8484848,0,33,3,0,2,4,52,57344,55745,1.7708334
1154089658,19.0,11.17.394.4489,EUW1,11,1,0,1,1,1,1,0,21,3,2,1,11,14,41690,34225,3.8888888,0,9,0,0,0,0,8,26604,24325,0.8095238
